wordPairs,English Translation,PairMeanConcreteness,clusters,assocStrength,MeanPairSimilarity,SD,min,max,median,range,skewness,Q1,Q3,primeWord,PrimeMeanConcreteness,SD,min,max,median,range,skewness,Q1,Q3,gramCat,nbletters,orthNeighbours,old20,FLP_RT,MegalexRT,MovieFrequency,BookFrequency,BlogFreqPm,TwitterFreqPm,NewsFreqPm,targetWord,TargetMeanConcreteness,SD,min,max,median,range,skewness,Q1,Q3,gramCat,nbletters,orthNeighbours,old20,FLP_RT,Megalex_RT,MovieFrequency,BookFrequency,BlogFreqPm,TwitterFreqPm,NewsFreqPm
crainte-terreur,fear terror,"3,14","1,00","0,02","4,53","1,46","1,00","7,00","5,00","6,00","-0,32","3,00","5,00",crainte,"2,95","1,53","1,00","7,00","3,00","6,00","0,79","2,00","4,00",VER,"7,00","1,00","1,85","657,70","570,84","6,76","4,66","24,72","5,74","22,65",terreur,"3,33","1,69","1,00","7,00","3,00","6,00","0,41","2,00","4,50",NOM,"7,00","1,00","1,80","660,43","541,74","13,87","23,78","16,38","3,36","6,40"
crâne-tibia,skull shinbone,"6,48","3,00",NA,"3,08","1,69","1,00","6,00","3,00","5,00","0,01","1,00","5,00",crâne,"6,55","0,74","4,00","7,00","7,00","3,00","-1,69","6,00","7,00",ADJ,"5,00","3,00","1,70","596,76","524,45","1,19","1,96","15,71","19,22","7,77",tibia,"6,42","1,23","1,00","7,00","7,00","6,00","-3,17","6,00","7,00",NOM,"5,00","0,00","1,90","806,88","649,21","2,02","1,01","0,79","0,98","1,02"
créatif-rêveur,creative dreamer,"3,17","1,00",NA,"4,28","1,69","1,00","7,00","5,00","6,00","-0,49","3,25","5,00",créatif,"3,00","1,76","1,00","7,00","3,00","6,00","0,70","1,75","4,00",ADJ,"7,00","0,00","2,30","680,13","542,43","2,30","0,14","8,52","7,12","3,54",rêveur,"3,35","1,78","1,00","7,00","3,00","6,00","0,58","2,00","5,00",ADJ,"6,00","0,00","1,90","614,09","543,16","0,96","8,38","5,79","2,02","1,32"
création-construction,creation construction,"4,43","2,00",NA,"4,26","1,40","1,00","7,00","5,00","6,00","-0,70","3,00","5,00",création,"3,26","1,50","1,00","7,00","3,00","6,00","0,55","2,00","4,00",NOM,"8,00","0,00","2,00","657,83","550,27","9,74","17,50","121,40","70,87","147,34",construction,"5,60","1,35","2,00","7,00","6,00","5,00","-0,83","5,00","7,00",NOM,"12,00","1,00","2,40","740,95",NA,"11,30","18,24","70,56","16,94","89,47"
crème-velouté,cream soup,"5,50","3,00",NA,"3,48","1,63","1,00","6,00","4,00","5,00","-0,15","2,25","5,00",crème,"5,65","1,65","1,00","7,00","6,00","6,00","-1,39","5,00","7,00",ADJ,"5,00","4,00","1,70","596,86","578,19","2,46","5,54","137,99","27,02","11,75",velouté,"5,35","1,46","1,00","7,00","6,00","6,00","-1,75","5,00","7,00",VER,"7,00","1,00","2,25","628,50","615,45","0,02","0,07","4,31","1,52","0,61"
crise-tension,crisis tension,"3,19","1,00",NA,"4,71","1,41","1,00","7,00","5,00","6,00","-0,53","3,50","6,00",crise,"3,31","1,47","1,00","7,00","3,00","6,00","0,75","2,00","4,00",NOM,"5,00","9,00","1,15","667,60","531,54","43,51","37,97","178,76","105,66","415,53",tension,"3,08","1,74","1,00","7,00","3,00","6,00","0,66","2,00","4,00",NOM,"7,00","1,00","1,95","618,84","569,06","20,05","14,93","23,69","11,49","34,25"
croissance-augmentation,growth increase,"3,63","1,00",NA,"5,52","1,52","1,00","7,00","6,00","6,00","-1,13","5,00","7,00",croissance,"3,28","1,49","1,00","7,00","3,00","6,00","0,15","2,00","4,00",NOM,"10,00","1,00","2,55","673,00",NA,"4,16","3,92","56,15","26,73","229,55",augmentation,"3,97","1,60","1,00","7,00","4,00","6,00","0,23","3,00","5,00",NOM,"12,00","0,00","3,00","747,00",NA,"6,61","3,24","43,14","24,27","123,34"
croquis-ébauche,sketch draft,"4,59","2,00",NA,"4,91","1,84","1,00","7,00","5,00","6,00","-0,82","4,00","6,00",croquis,"5,46","1,62","2,00","7,00","6,00","5,00","-1,12","5,00","7,00",NOM,"7,00","2,00","1,85","683,75","573,00","2,63","7,64","5,82","2,78","1,05",ébauche,"3,73","1,55","1,00","7,00","3,00","6,00","0,35","3,00","5,00",NOM,"7,00","2,00","1,70","693,78","610,47","1,17","4,46","2,67","0,90","1,81"
cuir-peau,leather skin,"6,20","3,00","0,03","4,06","2,02","1,00","7,00","4,50","6,00","-0,30","2,00","6,00",cuir,"5,98","0,99","3,00","7,00","6,00","4,00","-1,10","6,00","7,00",NOM,"4,00","4,00","1,65","608,82","525,64","14,11","76,08","19,54","18,10","10,46",peau,"6,42","0,86","3,00","7,00","7,00","4,00","-1,98","6,00","7,00",NOM,"4,00","3,00","1,70","559,40","484,18","83,83","174,26","129,80","44,36","29,78"
cuisine-chambre,kitchen bedroom,"6,32","3,00",NA,"2,78","1,54","1,00","5,00","3,00","4,00","0,09","1,00","4,00",cuisine,"6,37","1,54","3,00","7,00","6,00","4,00","1,11","6,00","7,00",NOM,"7,00","2,00","1,70","622,04","487,01","85,08","123,31","103,62","71,23","42,32",chambre,"6,27","1,13","2,00","7,00","7,00","5,00","-2,10","6,00","7,00",NOM,"7,00","2,00","1,65","561,00","494,17","263,93","380,07","112,45","68,89","111,56"
culture-origine,culture origin,"2,94","1,00",NA,"4,13","1,64","1,00","7,00","5,00","6,00","-0,51","3,00","5,00",culture,"3,05","1,97","1,00","7,00","3,00","6,00","0,75","1,00","4,00",NOM,"7,00","0,00","1,95","670,88","520,17","18,76","24,32","144,76","86,04","102,03",origine,"2,83","1,51","1,00","7,00","3,00","6,00","1,12","2,00","4,00",NOM,"7,00","0,00","2,20","603,44","534,71","22,18","34,19","129,62","32,04","144,38"
cupidité-ambition,greed ambition,"2,95","1,00",NA,"2,07","1,25","1,00","5,00","2,00","4,00","1,00","1,00","3,00",cupidité,"3,05","1,58","1,00","7,00","3,00","6,00","1,06","2,00","3,00",NOM,"8,00","0,00","2,75","631,45","649,82","1,77","1,96","3,58","0,43","1,20",ambition,"2,85","1,39","1,00","7,00","3,00","6,00","0,92","2,00","3,00",NOM,"8,00","0,00","2,70","703,70","598,00","7,98","19,32","20,69","8,99","34,37"
danse-chorégraphie,dance choregraphy,"5,23","2,00",NA,"5,22","1,37","1,00","7,00","5,00","6,00","-0,79","4,00","6,00",danse,"5,35","1,38","1,00","7,00","6,00","6,00","-0,79","4,00","6,00",NOM,"5,00","6,00","1,40","534,20","528,75","46,92","29,19","46,56","58,81","33,17",chorégraphie,"5,12","1,81","1,00","7,00","5,50","6,00","-0,71","4,00","7,00",NOM,"12,00","0,00","3,00","810,38",NA,"0,99","0,54","3,03","2,53","2,48"
décennie-siècle,decade century,"4,47","2,00","0,01","3,27","2,02","1,00","7,00","3,00","6,00","0,41","1,00","5,00",décennie,"4,31","2,19","1,00","7,00","4,00","6,00","0,06","2,00","7,00",NOM,"8,00","0,00","2,30","743,00","626,99","1,27","0,95","12,44","4,44","14,32",siècle,"4,63","2,27","1,00","7,00","6,00","6,00","-0,44","2,00","7,00",NOM,"6,00","0,00","2,15","619,68","526,07","27,29","79,05","138,51","30,49","61,09"
décision-choix,decision choice,"3,28","1,00","0,16","5,49","1,46","1,00","7,00","6,00","6,00","-1,01","5,00","7,00",décision,"3,49","1,56","1,00","7,00","3,00","6,00","0,79","2,00","4,00",NOM,"8,00","1,00","2,25","598,95","568,70","54,63","47,77","92,22","27,56","271,82",choix,"3,07","1,76","1,00","7,00","2,50","6,00","0,73","2,00","4,00",NOM,"5,00","7,00","1,65","535,91","486,88","113,35","51,42","228,42","171,51","183,29"
décret-loi,decree law,"4,43","2,00",NA,"4,88","1,71","1,00","7,00","5,00","6,00","-0,72","4,00","6,00",décret,"4,26","1,62","1,00","7,00","4,00","6,00","0,08","3,00","5,00",NOM,"6,00","4,00","1,75","682,50","589,53","3,54","6,42","20,08","5,67","25,81",loi,"4,60","2,18","1,00","7,00","5,00","6,00","-0,32","3,00","7,00",NOM,"3,00","13,00","1,00","568,83","514,53","87,37","44,46","218,11","82,29","305,02"
défaite-échec,defeat failure,"3,67","1,00","0,02","4,90","1,68","1,00","7,00","5,00","6,00","-0,82","4,00","6,00",défaite,"4,05","1,69","1,00","7,00","4,00","6,00","-0,12","3,00","5,00",VER,"7,00","3,00","1,75","636,40","564,72","0,50","1,28","19,75","21,64","76,46",échec,"3,29","1,82","1,00","7,00","3,00","6,00","0,53","2,00","4,00",NOM,"5,00","1,00","1,90","581,58","510,06","15,47","21,76","41,80","23,12","60,82"
délicatesse-finesse,delicacy subtlety,"2,95","1,00",NA,"5,55","1,01","3,00","7,00","6,00","4,00","-0,36","5,00","6,00",délicatesse,"2,84","1,72","1,00","7,00","2,00","6,00","1,04","2,00","4,00",NOM,"11,00","0,00","3,40","731,92",NA,"3,34","11,96","9,49","3,83","3,89",finesse,"3,06","1,65","1,00","7,00","3,00","6,00","0,64","2,00","4,00",NOM,"7,00","2,00","1,85","692,24","610,58","2,21","7,84","13,07","5,71","3,39"
déluge-avalanche,flood avalanche,"5,62","3,00",NA,"3,85","1,92","1,00","7,00","4,00","6,00","-0,23","3,00","5,75",déluge,"5,07","1,45","1,00","7,00","5,00","6,00","-0,78","4,00","6,00",NOM,"6,00","1,00","1,90","643,79","626,26","2,51","8,18","6,31","5,92","2,43",avalanche,"6,17","1,07","3,00","7,00","6,00","4,00","-1,43","6,00","7,00",NOM,"9,00","0,00","2,80","768,42","581,22","1,89","4,86","3,55","4,30","6,66"
déni-refus,denial refusal,"3,87","1,00","0,01","4,57","1,89","1,00","7,00","5,00","6,00","-0,82","4,00","6,00",déni,"2,98","1,68","1,00","7,00","3,00","6,00","0,80","2,00","4,00",NOM,"4,00","3,00","1,65",NA,NA,"0,78","0,27","7,58","3,29","8,83",refus,"4,76","1,97","1,00","7,00","5,00","6,00","-0,28","3,00","7,00",NOM,"5,00","6,00","1,50","688,70","522,38","9,02","27,03","34,28","9,46","37,29"
dépité-déprimé,disappointed depressed,"2,85","1,00",NA,"4,47","1,78","1,00","7,00","5,00","6,00","-0,59","3,00","6,00",dépité,"3,02","1,46","1,00","7,00","3,00","6,00","0,98","2,00","4,00",VER,"6,00","5,00","1,50",NA,NA,"0,01","0,27","1,82","1,16","2,19",déprimé,"2,69","1,55","1,00","7,00","2,00","6,00","1,12","2,00","3,00",VER,"7,00","3,00","1,75","600,88","535,79","2,50","0,61","1,73","2,96","1,75"
désaveu-déni,disavowal denial,"2,74","1,00",NA,"3,45","1,85","1,00","7,00","3,00","6,00","0,23","2,00","5,00",désaveu,"2,50","1,60","1,00","7,00","2,00","6,00","1,24","1,00","3,25",NOM,"7,00","0,00","2,35",NA,NA,"0,07","0,61","0,67","0,36","2,78",déni,"2,98","1,68","1,00","7,00","3,00","6,00","0,80","2,00","4,00",NOM,"4,00","3,00","1,65",NA,NA,"0,78","0,27","7,58","3,29","8,83"
désir-envie,desire wish,"3,31","1,00","0,03","5,72","0,85","4,00","7,00","6,00","3,00","0,10","5,00","6,00",désir,"3,59","1,96","1,00","7,00","3,50","6,00","0,39","2,00","5,00",NOM,"5,00","1,00","1,75","515,54","537,52","31,59","96,69","73,20","15,39","28,15",envie,"3,03","1,78","1,00","7,00","3,00","6,00","0,69","2,00","4,00",NOM,"5,00","2,00","1,65","644,50","528,56","210,62","252,09","313,33","533,21","111,53"
désolation-ruine,desolation ruin,"3,95","2,00",NA,"3,75","1,86","1,00","7,00","4,00","6,00","-0,25","2,00","5,00",désolation,"2,87","1,56","1,00","7,00","3,00","6,00","0,95","2,00","3,75",NOM,"10,00","0,00","2,35","722,22",NA,"1,04","6,76","2,76","0,87","2,19",ruine,"5,03","1,78","1,00","7,00","5,00","6,00","-0,37","4,00","7,00",NOM,"5,00","5,00","1,35","619,00","568,04","9,23","15,47","7,71","3,97","3,04"
détective-inspecteur,detective inspector,"5,55","3,00","0,04","4,93","1,44","1,00","7,00","5,00","6,00","-0,96","5,00","6,00",détective,"5,19","1,64","2,00","7,00","5,00","5,00","-0,52","4,00","7,00",NOM,"9,00","0,00","2,45","728,46","537,81","20,77","2,36","7,04","1,48","2,51",inspecteur,"5,92","1,56","1,00","7,00","6,00","6,00","-2,13","6,00","7,00",NOM,"10,00","0,00","2,50","634,39",NA,"64,12","15,74","12,68","4,19","12,80"
détresse-misère,distress misery,"3,38","1,00",NA,"4,36","1,48","1,00","7,00","5,00","6,00","-0,66","3,25","5,00",détresse,"3,20","1,56","1,00","7,00","3,00","6,00","0,64","2,00","4,00",NOM,"8,00","0,00","2,20","649,30","540,33","8,48","18,38","12,35","4,01","7,86",misère,"3,56","1,86","1,00","7,00","3,00","6,00","0,55","2,00","5,00",NOM,"6,00","0,00","1,95","600,52","563,72","16,85","39,46","36,77","16,51","11,11"
deviner-prédire,guess predict,"2,86","1,00",NA,"4,27","2,09","1,00","7,00","5,00","6,00","-0,32","3,00","6,00",deviner,"2,68","1,27","1,00","7,00","2,00","6,00","1,39","2,00","3,00",VER,"7,00","3,00","1,70","631,71","538,48","17,60","25,95","12,74","10,73","2,69",prédire,"3,05","1,73","1,00","7,00","3,00","6,00","0,65","2,00","4,00",VER,"7,00","3,00","1,80","713,32","606,59","2,52","1,28","4,67","1,52","3,48"
dévorer-manger,devour eat,"5,16","2,00","0,71","4,58","1,50","2,00","7,00","5,00","5,00","-0,24","4,00","5,00",dévorer,"4,20","1,64","1,00","7,00","4,00","6,00","0,00","3,00","5,00",VER,"7,00","5,00","1,60","615,39","599,36","4,08","7,70","6,37","1,91","1,23",manger,"6,13","1,28","2,00","7,00","7,00","5,00","-1,62","6,00","7,00",NOM,"6,00","9,00","1,35","585,17","516,86","5,62","4,05","110,84","190,47","25,43"
dévotion-piété,devotion pity,"2,30","1,00",NA,"3,69","1,77","1,00","7,00","4,00","6,00","0,12","2,00","5,00",dévotion,"2,19","1,13","1,00","5,00","2,00","4,00","0,59","1,00","3,00",NOM,"8,00","0,00","2,50","676,00","676,95","2,26","7,03","3,19","0,76","0,64",piété,"2,40","1,61","1,00","7,00","2,00","6,00","0,98","1,00","4,00",NOM,"5,00","0,00","1,70","618,50","560,51","76,38","57,91","19,78","33,67","3,22"
dévouement-sacrifice,dedication sacrifice,"3,35","1,00",NA,"4,38","1,75","1,00","7,00","5,00","6,00","-0,59","3,00","5,00",dévouement,"3,31","1,72","1,00","7,00","3,00","6,00","0,43","2,00","5,00",NOM,"10,00","3,00","2,15","658,00",NA,"4,03","8,51","3,85","0,87","3,57",sacrifice,"3,39","1,84","1,00","7,00","3,00","6,00","0,47","2,00","5,00",NOM,"9,00","1,00","2,20","650,00","535,54","15,90","16,96","14,89","3,87","3,89"
diadème-couronne,tiara crown,"6,64","3,00","0,52","5,56","1,40","1,00","7,00","6,00","6,00","-1,81","5,00","6,00",diadème,"6,67","0,65","5,00","7,00","7,00","2,00","-1,79","7,00","7,00",NOM,"7,00","0,00","2,80","773,79","648,77","1,38","1,15","0,55","0,58","0,29",couronne,"6,61","0,87","4,00","7,00","7,00","3,00","-2,42","7,00","7,00",NOM,"8,00","3,00","1,70","652,25","593,62","15,16","12,50","13,68","5,53","16,40"
dignité-honneur,dignity honor,"2,69","1,00","0,10","5,09","1,31","1,00","7,00","5,00","6,00","-1,09","5,00","6,00",dignité,"2,69","1,82","1,00","7,00","2,00","6,00","1,14","1,00","4,00",NOM,"7,00","0,00","2,55","683,38","557,80","14,59","32,43","25,24","6,18","21,66",honneur,"2,69","1,62","1,00","7,00","2,00","6,00","1,03","1,50","3,50",NOM,"7,00","2,00","1,85","628,69","536,93","126,78","87,64","60,03","62,71","66,38"
discipline-matière,field subject,"4,10","2,00",NA,"4,78","1,67","1,00","7,00","5,00","6,00","-1,13","4,00","6,00",discipline,"3,88","1,71","1,00","7,00","3,00","6,00","0,25","3,00","5,00",NOM,"10,00","2,00","2,45","653,91",NA,"11,59","20,27","17,62","4,12","35,63",matière,"4,32","2,08","1,00","7,00","5,00","6,00","-0,34","2,00","6,00",NOM,"7,00","2,00","1,85","697,70","547,15","14,20","49,80","112,45","35,26","124,04"
discorde-conflit,discord conflict,"3,65","1,00",NA,"5,05","1,18","1,00","7,00","5,00","6,00","-1,15","5,00","6,00",discorde,"3,52","1,47","1,00","7,00","3,00","6,00","0,25","2,00","5,00",NOM,"8,00","0,00","2,60","690,43","618,99","1,35","2,09","1,97","0,36","3,30",conflit,"3,78","1,61","1,00","7,00","4,00","6,00","0,39","3,00","5,00",NOM,"7,00","0,00","1,90","689,04","519,85","9,63","11,08","42,56","10,26","56,76"
discours-débat,speech debate,"3,83","1,00","0,02","3,94","1,96","1,00","7,00","4,00","6,00","0,02","2,00","5,25",discours,"3,84","1,76","1,00","7,00","4,00","6,00","-0,15","3,00","5,00",VER,"8,00","3,00","2,35","620,70","513,59","0,02","0,00","103,81","62,38","119,98",débat,"3,82","1,67","1,00","7,00","4,00","6,00","0,34","2,50","5,00",NOM,"5,00","2,00","1,80","646,80","520,46","7,77","9,46","97,80","130,69","164,41"
discrétion-modestie,discretion modesty,"2,88","1,00",NA,"3,19","1,68","1,00","7,00","3,00","6,00","0,34","2,00","4,00",discrétion,"3,03","1,61","1,00","7,00","3,00","6,00","1,02","2,00","3,50",NOM,"10,00","0,00","3,05","671,26",NA,"4,59","21,22","9,04","3,11","13,09",modestie,"2,73","1,30","1,00","6,00","3,00","5,00","0,75","2,00","3,00",NOM,"8,00","0,00","2,55","667,67","600,28","3,96","10,27","4,76","3,61","2,72"
distance-espace,distance space,"3,87","1,00",NA,"4,12","1,92","1,00","7,00","4,00","6,00","-0,40","3,00","5,75",distance,"4,50","1,52","1,00","7,00","4,00","6,00","0,11","4,00","5,75",NOM,"8,00","2,00","1,75","614,83","528,68","26,13","52,64","41,86","22,29","37,41",espace,"3,24","1,95","1,00","7,00","3,00","6,00","0,48","1,00","4,00",NOM,"6,00","2,00","1,70","718,38","531,33","41,34","78,58","126,92","78,75","106,51"
divertir-distraire,entertain distract,"3,37","1,00",NA,"5,14","1,58","1,00","7,00","5,00","6,00","-0,73","4,50","6,00",divertir,"3,35","1,86","1,00","7,00","3,00","6,00","0,63","2,00","5,00",VER,"8,00","3,00","2,35","703,20","609,96","2,71","1,82","3,91","1,63","1,17",distraire,"3,38","1,52","1,00","7,00","3,00","6,00","0,51","3,00","4,00",VER,"9,00","2,00","2,35","760,30","586,98","7,56","13,38","4,37","1,77","1,23"
division-fraction,division fraction,"4,17","2,00",NA,"5,00","1,78","1,00","7,00","5,00","6,00","-0,91","4,00","6,00",division,"4,24","1,60","1,00","7,00","4,00","6,00","-0,08","3,00","5,00",NOM,"8,00","0,00","2,50","661,75","562,45","11,60","29,73","17,08","6,10","34,55",fraction,"4,10","2,04","1,00","7,00","4,00","6,00","0,03","2,00","6,00",NOM,"8,00","2,00","1,80","693,08","596,16","1,34","6,76","5,79","0,51","3,51"
docile-humble,docile humble,"2,87","1,00",NA,"2,36","1,70","1,00","7,00","2,00","6,00","1,37","1,00","3,00",docile,"3,00","1,65","1,00","7,00","3,00","6,00","1,14","2,00","3,00",ADJ,"6,00","1,00","1,90","781,38","580,79","1,68","7,43","3,58","1,08","1,11",humble,"2,74","1,16","1,00","6,00","3,00","5,00","0,25","2,00","4,00",ADJ,"6,00","0,00","2,15","667,33","597,22","9,66","12,84","11,19","6,29","2,51"
dogme-croyance,dogma belief,"2,77","1,00","0,11","4,23","1,74","1,00","7,00","5,00","6,00","-0,62","3,00","5,25",dogme,"3,12","1,85","1,00","7,00","3,00","6,00","0,54","1,00","4,00",NOM,"5,00","2,00","1,80","740,85","713,13","0,49","1,35","7,74","1,01","2,86",croyance,"2,41","1,83","1,00","7,00","2,00","6,00","1,70","1,00","3,00",NOM,"8,00","1,00","2,40","602,32","514,18","3,30","3,38","16,32","2,02","2,48"
don-talent,donation talent,"3,42","1,00",NA,"4,96","1,73","1,00","7,00","5,00","6,00","-0,84","4,00","6,00",don,"3,66","1,81","1,00","7,00","4,00","6,00","0,40","2,00","4,75",NOM,"3,00","17,00","1,00","607,72","531,78","35,47","30,27","52,66","43,60","25,08",talent,"3,19","1,61","1,00","7,00","3,00","6,00","0,77","2,00","4,00",VER,"6,00","5,00","1,65","639,09","548,60","0,04","0,00","47,78","45,62","28,82"
drame-tragédie,drama tragedy,"3,44","1,00",NA,"5,24","1,36","1,00","7,00","5,50","6,00","-1,01","5,00","6,00",drame,"3,29","1,43","1,00","7,00","3,00","6,00","0,86","2,00","4,00",NOM,"5,00","6,00","1,55","587,96","517,06","13,48","32,50","30,61","16,94","63,83",tragédie,"3,60","1,69","1,00","7,00","3,00","6,00","0,14","2,00","5,00",NOM,"8,00","0,00","2,75","625,38","563,85","14,23","10,88","11,95","2,89","10,93"
dynastie-monarchie,dynasty monarchy,"3,93","1,00",NA,"4,11","1,67","1,00","7,00","4,00","6,00","-0,35","3,00","5,00",dynastie,"3,81","1,54","1,00","7,00","4,00","6,00","0,24","3,00","5,00",NOM,"8,00","0,00","3,15","899,38","618,15","2,29","3,04","6,28","1,05","3,42",monarchie,"4,04","2,04","1,00","7,00","4,00","6,00","-0,05","2,00","6,00",NOM,"9,00","0,00","3,15","833,57","654,09","1,10","4,53","7,89","1,41","3,71"
école-collège,school middle school,"6,13","3,00",NA,"4,88","1,48","1,00","7,00","5,00","6,00","-0,62","4,00","6,00",école,"6,08","0,95","4,00","7,00","6,00","3,00","-0,57","5,00","7,00",NOM,"5,00","4,00","1,70","584,20","526,19","197,04","128,51","170,36","115,01","153,39",collège,"6,17","1,15","2,00","7,00","7,00","5,00","-1,48","5,50","7,00",NOM,"7,00","1,00","2,05","649,60","549,17","11,30","25,00","28,42","27,09","50,86"
écrire-dessiner,write draw,"5,32","2,00",NA,"3,38","1,83","1,00","7,00","3,00","6,00","0,03","1,25","5,00",écrire,"5,85","1,55","1,00","7,00","6,50","6,00","-1,49","5,00","7,00",VER,"6,00","4,00","1,60","620,96","506,00","84,14","116,15","139,54","118,63","30,19",dessiner,"4,79","1,74","1,00","7,00","5,00","6,00","-0,63","4,00","6,00",VER,"8,00","3,00","1,75","647,54","546,41","9,10","12,97","15,44","11,16","6,49"
éducation-civilité,manners courtesy,"3,45","1,00",NA,"4,04","1,90","1,00","7,00","4,50","6,00","-0,28","3,00","5,00",éducation,"3,54","1,89","1,00","7,00","3,00","6,00","0,54","2,00","4,00",NOM,"9,00","0,00","2,15","611,92","572,90","20,45","27,09","88,43","30,70","71,43",civilité,"3,36","1,84","1,00","7,00","3,00","6,00","0,80","2,00","4,00",NOM,"8,00","1,00","2,45","738,14","599,59","0,90","1,01","1,03","0,43","0,35"
effort-concentration,effort focus,"3,79","1,00",NA,"4,35","1,21","1,00","6,00","5,00","5,00","-1,06","4,00","5,00",effort,"3,95","1,92","1,00","7,00","3,00","6,00","0,36","3,00","5,00",NOM,"6,00","0,00","2,20","665,26","529,21","23,26","98,18","51,45","27,45","49,37",concentration,"3,64","1,85","1,00","7,00","3,50","6,00","0,31","2,00","5,00",NOM,"13,00","0,00","3,20","722,26",NA,"8,46","10,27","20,54","7,15","15,81"
égaré-perdu,misplaced lost,"3,54","1,00",NA,"6,14","0,99","4,00","7,00","6,00","3,00","-0,76","5,00","7,00",égaré,"3,49","1,76","1,00","7,00","3,00","6,00","0,39","2,00","5,00",VER,"5,00","5,00","1,60","667,75","559,07","3,27","5,81","3,58","1,66","1,37",perdu,"3,60","1,75","1,00","7,00","3,00","6,00","0,55","2,00","5,00",VER,"5,00","4,00","1,60","562,61","505,03","217,23","115,07","122,13","142,76","140,21"
électronique-mécanique,electronics mecanics,"4,92","2,00",NA,"3,40","1,82","1,00","7,00","3,50","6,00","0,16","2,00","4,75",électronique,"4,78","1,78","1,00","7,00","5,00","6,00","-0,47","4,00","6,00",ADJ,"12,00","0,00","3,45","731,22",NA,"5,00","1,96","21,63","14,34","27,77",mécanique,"5,07","1,88","2,00","7,00","6,00","5,00","-0,34","3,00","7,00",ADJ,"9,00","0,00","2,70","641,21","538,02","2,83","15,47","16,05","6,79","17,39"
élégance-grâce,elegance grace,"2,70","1,00","0,08","5,36","1,17","2,00","7,00","6,00","5,00","-0,92","5,00","6,00",élégance,"2,86","1,77","1,00","7,00","2,00","6,00","0,91","1,50","4,00",NOM,"8,00","1,00","2,55","698,83","575,74","4,12","22,77","9,86","4,44","6,14",grâce,"2,54","1,15","1,00","5,00","2,00","4,00","0,41","2,00","3,00",NOM,"5,00","0,00","1,95","669,73","513,53","32,08","49,66","202,18","130,29","218,51"
éléphant-rhinocéros,elephant rhino,"6,82","3,00","0,01","3,46","1,77","1,00","7,00","4,00","6,00","0,09","2,00","5,00",éléphant,"6,89","0,32","6,00","7,00","7,00","1,00","-2,53","7,00","7,00",NOM,"8,00","0,00","2,65","630,04","543,28","10,17","8,92","5,55","5,49","3,16",rhinocéros,"6,75","0,54","5,00","7,00","7,00","2,00","-2,15","7,00","7,00",NOM,"10,00","0,00","4,85","753,25",NA,"2,51","2,50","2,34","0,51","0,67"
élever-monter,raise take up,"4,05","2,00",NA,"5,14","1,63","1,00","7,00","5,00","6,00","-0,90","4,50","6,00",élever,"3,60","1,59","1,00","7,00","3,00","6,00","0,25","2,00","5,00",VER,"6,00","1,00","1,85","674,20","533,61","15,57","20,20","15,47","3,43","10,73",monter,"4,50","1,80","1,00","7,00","5,00","6,00","-0,42","3,00","6,00",VER,"6,00","5,00","1,55","624,96","566,86","85,70","96,89","59,46","60,90","54,63"
éloge-compliment,praise compliment,"3,42","1,00","0,01","5,48","1,28","1,00","7,00","6,00","6,00","-1,33","5,00","6,00",éloge,"3,16","1,51","1,00","6,00","3,00","5,00","0,31","2,00","4,00",NOM,"5,00","0,00","1,85","625,32","578,39","1,31","5,47","5,31","2,28","2,57",compliment,"3,69","1,98","1,00","7,00","4,00","6,00","0,15","2,00","5,00",NOM,"10,00","2,00","1,85","582,52",NA,"8,29","5,54","2,85","22,11","1,70"
émeraude-rubis,emerald ruby,"6,27","3,00","0,04","4,14","1,98","1,00","7,00","5,00","6,00","-0,50","2,00","5,25",émeraude,"6,21","1,47","1,00","7,00","7,00","6,00","-2,43","6,00","7,00",ADJ,"8,00","0,00","2,85","674,96","676,95","0,27","1,35","2,21","0,36","0,91",rubis,"6,32","1,06","3,00","7,00","7,00","4,00","-2,05","6,00","7,00",ADJ,"5,00","5,00","1,75","631,54","604,74","0,86","1,08","1,91","0,61","1,05"
émissaire-messager,emissary mesenger,"4,52","2,00",NA,"4,78","1,78","1,00","7,00","5,00","6,00","-0,77","4,00","6,00",émissaire,"4,33","1,80","1,00","7,00","4,00","6,00","-0,26","3,25","6,00",ADJ,"9,00","0,00","2,90","761,46","668,43","1,87","1,01","3,88","0,79","6,28",messager,"4,71","1,74","1,00","7,00","5,00","6,00","-0,42","4,00","6,00",NOM,"8,00","1,00","2,20","718,58","597,77","9,60","3,38","5,64","1,01","1,11"
empereur-roi,emperor king,"5,50","3,00","0,41","4,86","1,90","1,00","7,00","5,00","6,00","-0,75","4,00","6,00",empereur,"5,42","1,67","1,00","7,00","6,00","6,00","-1,03","4,00","7,00",NOM,"8,00","0,00","2,70","719,88","596,49","24,45","35,88","17,11","2,20","3,54",roi,"5,59","1,79","1,00","7,00","6,00","6,00","-1,21","4,25","7,00",ADV,"3,00","12,00","1,20","606,65","545,71","0,56","0,07","87,70","50,25","41,77"
